date,close,high,low,open,rsi,cci,interest_rate,inflation_rate
2019-01-07 16:00:00,1626.02,1628.53,1613.38,1621.5,77.65457093605775,173.9910526173143,2.40,1.81221007526021
2019-01-07 17:00:00,1622.95,1626.68,1620.41,1626.1,75.95962578266382,149.37427118013863,2.40,1.81221007526021
2019-01-07 18:00:00,1623.835,1634.47,1622.0,1623.03,76.12142877195166,134.3224371664367,2.40,1.81221007526021
2019-01-07 19:00:00,1620.22,1626.17,1617.87,1622.86,73.93250590542222,109.4759864726547,2.40,1.81221007526021
2019-01-07 20:00:00,1628.65,1633.99,1619.33,1619.33,75.68818397333486,106.03531821032149,2.40,1.81221007526021
2019-01-08 15:00:00,1628.02,1660.845,1617.2,1654.75,75.28012438574564,106.9131840075173,2.40,1.81221007526021
2019-01-08 16:00:00,1650.39,1651.58,1625.955,1628.48,79.50531952094359,107.29108692620079,2.40,1.81221007526021
2019-01-08 17:00:00,1649.25,1658.005,1648.0,1650.15,78.7664541109871,110.0851357028821,2.40,1.81221007526021
2019-01-08 18:00:00,1658.51,1659.02,1647.485,1649.25,80.36284260183015,103.64133600901819,2.40,1.81221007526021
2019-01-08 19:00:00,1655.5,1662.505,1655.2,1656.935,78.30207265014973,98.63836477353026,2.40,1.81221007526021
2019-01-08 20:00:00,1656.1,1659.94,1653.465,1655.22,78.42086206749525,90.8690107162954,2.40,1.81221007526021
2019-01-09 15:00:00,1652.15,1660.5,1647.0,1659.035,75.49075299359424,82.07288288600833,2.40,1.81221007526021
2019-01-09 16:00:00,1660.95,1661.62,1650.1,1650.26,77.50711113271164,89.81857111961317,2.40,1.81221007526021
2019-01-09 17:00:00,1662.79,1663.41,1659.325,1662.45,77.91621265416104,96.68875334290708,2.40,1.81221007526021
2019-01-09 18:00:00,1658.715,1662.79,1657.1,1662.79,74.67680174564202,84.41594191380857,2.40,1.81221007526021
2019-01-09 19:00:00,1662.28,1666.585,1654.92,1658.78,75.63132545094382,82.352952690211,2.40,1.81221007526021
2019-01-09 20:00:00,1659.285,1666.81,1652.1,1661.36,73.1371434926902,71.24882547266675,2.40,1.81221007526021
2019-01-10 15:00:00,1654.0,1654.42,1627.235,1627.465,68.8239507174915,18.644473507800157,2.40,1.81221007526021
2019-01-10 16:00:00,1654.7,1658.61,1650.455,1654.04,69.08401558475609,48.32982369214185,2.40,1.81221007526021
2019-01-10 17:00:00,1659.515,1660.45,1650.72,1654.25,70.88324488816313,54.444019616573634,2.40,1.81221007526021
2019-01-10 18:00:00,1646.55,1660.005,1642.31,1658.96,60.64835096577327,10.469740451733392,2.40,1.81221007526021
2019-01-10 19:00:00,1654.265,1654.445,1646.55,1646.55,63.98121015505148,17.091003126689053,2.40,1.81221007526021
2019-01-10 20:00:00,1656.19,1659.71,1650.8,1654.24,64.78268475057024,39.167620860011155,2.40,1.81221007526021
2019-01-11 15:00:00,1648.38,1655.38,1645.43,1647.21,59.042445855816,-25.101627614058643,2.40,1.81221007526021
2019-01-11 16:00:00,1649.3,1650.0,1641.565,1648.38,59.49771894952546,-79.13113017825381,2.40,1.81221007526021
2019-01-11 17:00:00,1647.745,1649.3,1646.375,1649.3,58.317762248608446,-88.00031699332001,2.40,1.81221007526021
2019-01-11 18:00:00,1638.705,1647.745,1637.095,1647.745,51.87665618568023,-182.09775169638394,2.40,1.81221007526021
2019-01-11 19:00:00,1639.94,1643.05,1637.12,1637.12,52.646137745278104,-166.27013488459016,2.40,1.81221007526021
2019-01-11 20:00:00,1639.34,1644.4,1639.21,1639.94,52.209360734248335,-130.79084282220322,2.40,1.81221007526021
2019-01-14 15:00:00,1641.725,1641.74,1615.2,1618.5,53.848445472775715,-185.0126420486972,2.40,1.81221007526021
2019-01-14 16:00:00,1644.11,1647.42,1637.16,1639.01,55.4923548288297,-74.95852828143653,2.40,1.81221007526021
2019-01-14 17:00:00,1633.49,1643.67,1632.0,1643.67,47.39656511547952,-122.23584927833853,2.40,1.81221007526021
2019-01-14 18:00:00,1634.115,1636.49,1631.72,1632.39,47.87849427205457,-125.87564167344141,2.40,1.81221007526021
2019-01-14 19:00:00,1628.775,1632.395,1625.36,1632.39,44.15623154642402,-152.3489845016923,2.40,1.81221007526021
2019-01-14 20:00:00,1617.565,1628.75,1615.77,1628.75,37.55553804851176,-188.16806794725414,2.40,1.81221007526021
2019-01-15 15:00:00,1644.89,1646.87,1641.0,1642.25,55.15358690962555,2.250951091027833,2.40,1.81221007526021
2019-01-15 16:00:00,1664.075,1664.65,1644.93,1645.285,63.03116433327502,120.62316162714953,2.40,1.81221007526021
2019-01-15 17:00:00,1664.23,1667.125,1661.43,1663.81,63.08757900634654,149.66015265800903,2.40,1.81221007526021
2019-01-15 18:00:00,1664.635,1669.18,1660.77,1664.23,63.24540406669836,141.8901776555775,2.40,1.81221007526021
2019-01-15 19:00:00,1663.38,1666.555,1650.28,1664.97,62.35568504749032,104.04018709431064,2.40,1.81221007526021
2019-01-15 20:00:00,1674.965,1674.965,1662.485,1662.99,66.97431094245755,155.6012663313351,2.40,1.81221007526021
2019-01-16 15:00:00,1685.48,1700.36,1676.23,1697.05,70.51081441426292,210.3922251279919,2.40,1.81221007526021
2019-01-16 16:00:00,1688.96,1696.23,1683.12,1686.45,71.5949230924381,182.02416307241631,2.40,1.81221007526021
2019-01-16 17:00:00,1694.095,1695.29,1687.01,1688.72,73.16273576949314,157.29877225871888,2.40,1.81221007526021
2019-01-16 18:00:00,1690.23,1695.0,1687.77,1694.095,70.02963889815761,129.6278098404955,2.40,1.81221007526021
2019-01-16 19:00:00,1690.745,1694.755,1690.23,1690.23,70.2126838161577,115.54995609514003,2.40,1.81221007526021
2019-01-16 20:00:00,1683.38,1694.16,1681.78,1690.64,64.17612551159891,87.6938589203925,2.40,1.81221007526021
2019-01-17 15:00:00,1686.33,1689.26,1680.58,1685.44,65.45717420074484,76.18400857314582,2.40,1.81221007526021
2019-01-17 16:00:00,1686.015,1689.41,1684.68,1686.33,65.18910844122287,72.97796839778691,2.40,1.81221007526021
2019-01-17 17:00:00,1686.38,1687.89,1684.55,1685.96,65.366099971675,65.1462162863519,2.40,1.81221007526021
2019-01-17 18:00:00,1688.52,1690.155,1686.38,1686.38,66.44336205157816,65.38412169978847,2.40,1.81221007526021
2019-01-17 19:00:00,1692.52,1699.725,1686.445,1688.52,68.42058205763809,74.28276234853058,2.40,1.81221007526021
2019-01-17 20:00:00,1690.23,1697.0,1688.115,1692.52,66.02215548417148,65.29594694051569,2.40,1.81221007526021
2019-01-18 15:00:00,1707.27,1708.06,1699.85,1703.23,73.47355039281707,111.64311660983309,2.40,1.81221007526021
2019-01-18 16:00:00,1711.16,1712.24,1706.35,1707.27,74.83055134565507,139.38847140596536,2.40,1.81221007526021
2019-01-18 17:00:00,1714.26,1715.84,1711.88,1713.3,75.88910093282927,168.13785110071586,2.40,1.81221007526021
2019-01-18 18:00:00,1704.09,1714.26,1704.09,1714.26,66.07169210835318,124.59670475701395,2.40,1.81221007526021
2019-01-18 19:00:00,1698.385,1704.65,1694.34,1704.09,61.28238683619404,63.82218159230038,2.40,1.81221007526021
2019-01-18 20:00:00,1694.57,1698.73,1691.54,1697.36,58.24207914746254,27.02465927983231,2.40,1.81221007526021
2019-01-21 15:00:00,1694.57,1694.57,1694.57,1694.57,58.24207914746254,11.936114833126155,2.40,1.81221007526021
2019-01-21 16:00:00,1694.57,1694.57,1694.57,1694.57,58.24207914746254,1.0784533536328254,2.40,1.81221007526021
2019-01-21 17:00:00,1694.57,1694.57,1694.57,1694.57,58.24207914746254,-2.7859829050560547,2.40,1.81221007526021
2019-01-21 18:00:00,1694.57,1694.57,1694.57,1694.57,58.24207914746254,-5.69543243311736,2.40,1.81221007526021
2019-01-21 19:00:00,1694.57,1694.57,1694.57,1694.57,58.24207914746254,-7.118699414551652,2.40,1.81221007526021
2019-01-21 20:00:00,1694.57,1694.57,1694.57,1694.57,58.24207914746254,-9.255891490491802,2.40,1.81221007526021
2019-01-22 15:00:00,1661.02,1667.43,1658.445,1666.53,33.60868840079068,-296.36097957397686,2.40,1.81221007526021
2019-01-22 16:00:00,1647.375,1663.49,1647.355,1661.02,28.355833115442607,-286.09474289700046,2.40,1.81221007526021
2019-01-22 17:00:00,1655.365,1656.615,1646.1,1647.94,34.7835797726388,-220.72045176413698,2.40,1.81221007526021
2019-01-22 18:00:00,1638.805,1652.71,1630.93,1652.5,28.980238549171517,-215.85058931289376,2.40,1.81221007526021
2019-01-22 19:00:00,1620.87,1639.59,1618.73,1637.97,24.25948671153118,-205.0067618767931,2.40,1.81221007526021
2019-01-22 20:00:00,1633.59,1633.61,1611.44,1620.34,32.64019029004662,-160.86554806596553,2.40,1.81221007526021
2019-01-23 15:00:00,1645.0,1648.38,1641.58,1643.24,39.14496107071402,-91.93155756287197,2.40,1.81221007526021
2019-01-23 16:00:00,1633.09,1645.0,1632.845,1645.0,35.31176231417547,-97.75410583181167,2.40,1.81221007526021
